event_id,source_lineage,region,municipality,event_type,event_date,event_period_start,event_period_end,source_institution,source_title,source_url,local_file_path,evidence_level,georeferencing_status,geometry_type,lat,lon,bbox,wkt,geojson_ref,crs,spatial_precision,temporal_precision,is_observed_event,source_confidence,geocoding_confidence,priority_rank,duplicate_group_id,duplicate_candidate,preferred_record,requires_manual_review,can_be_ground_truth,can_be_used_as_ground_truth,allowed_for_training,review_only,consolidation_notes
SUSC14A_00020,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-19,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Rua Moxoto, #_|/",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00006,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00021,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-19,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Rua Moxoto, #$[",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00006,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00022,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-19,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Rua Moxoto, @}>",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00006,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00023,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-19,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Rua Moxoto, >#'\",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00006,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00024,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-19,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Rua Moxoto, +?""]",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00006,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00025,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-19,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Rua Moxoto, #_|/",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00006,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00026,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-19,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Rua Moxoto, #$[",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00006,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00027,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-19,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Rua Moxoto, ?_$.",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00006,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00028,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-19,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Rua Moxoto, $!>=",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00006,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
SUSC14A_00029,susc_14a_geocoded,recife,Recife,urban_flooding,2017-04-19,,,Defesa Civil Recife (atendimentos),"Imóveis com Danos / Risco Mapeamento de Area de Risco Monitoramento Alagado | Rua Moxoto, 9<-%",,,weak_official_neighborhood_context,official_neighborhood_only,text_only,,,,,,EPSG:4326,neighborhood,day,false,low,none,20,DUPG14A_00006,true,false,true,false,false,false,true,ocorrencia oficial geocodificada 14A; ref=; bairro=Ibura
